รหัสสินค้า,ชื่อสินค้า
800000084495,ແຈ່ວສຸກີ້ແມ່ທອນ 500g
800000102050,ເຫັດຫຼວງ500g
800000161895,ເປັດເປັນໂຕ
800000107244,ໂອອີຊິລົດຊາດຳໝາກນາວ
2255120404,ໝູສາມຊັ້ນໝັກນ້ຳມັນງາ 500g
800000244109,ເຕົ້າຫູ້ແຫ້ງເສັ້ນ
800000101380,NVເສືອຮ້ອງໄຫ້ອົດສະຕາລີ500g
800000125754,ນ້ຳພິກແກງເພັດນ້ຳໃຈ100g
800000237425,ເສັ້ນດາເມັນ200g
800000101367,SunValleyຊິກເກັນຕິກ1kg
800000084277,CP ຊຸດຈຸ່ມພີມ້ຽນ
2255121489,ສາມຊັ້ນໝູສະໄລ້ WRAP FREEZE 250 ກຣາມ
2255120442,ສາມຊັ້ນໝັກເກືອ 1000g
2255121274,ຊີ້ນສາມຊັ້ນສະໄລ້ອານາໄມ 1000 ກຣາມ
800000106731,AFMໄສ້ກອກໄກ່500g
2210440043,ເອິກໄກ່ເນື້ອຕິດຫນັງອານາໄມ
800000125871,ຫມຶກເສັ້ນ1kg
800000101379,NVໜອກສະໄລອົດສະຕາລີ300g
800000084280,ກະແລ້ມຖົ່ວລຽນ
800000121130,Okimchi 300g
800000101378,NVນົມໝູສະໄລ້A 500g
800000107291,ເລ່ລົດດັງເດີມຖົງ
800000084508,ແມັກກີ້ 200ມລ
800000084318,ໄສ້ກອກຫມູຄອກເທວຜະສົມຊີສ 500g
800000101365,SUNFOOD ປີກບົນໄກ່ຖົງແດງ1kg
2255121207,ຊິ້ນໝູສາມຊັ້ນ
800000121131,Okimchi 500g
800000084534,ເສັ້ນດຳເສສວນຖົງ200g
800000102091,ເຕົາຫູ້ໄຂ່ ເກດ Aຖົງ10ອັນ
800000107414,ເອິກໄກ່ຖົງໃສ2kg
800000247455,ເລ່ໂມລິສະລາຍກ່ອງ100g
2255120415,ໄສ້ກອກຫມູ 500g
800000084417,ນໍ້າມັນຫອຍນາງລົມ600ml
800000084257,ຜັກຫົມ 300ກຼາມ
2255121211,ກະດູກແກງໝູ
800000107050,ລູກຊີ້ນປາແຫຼມ
2255121618,ຊີ້ນໝູສາມຊັ້ນຕັດເສັ້ນ WF(TS) 500 ກຣາມ
800000247442,ເລ່ກິ່ນກຸ້ງມັງກອນສະໄປຊີກ່ອງ100g
2255121410,ຫາງໝູອານາໄມ FREEZE 1000 ກຣາມ
800000084384,AFMໄສ້ກອກຊີດຂຽວ 500ກຼາມ
800000126557,Mfoodແຈ່ວດາດ_ຈຸ່ມ500g
800000101917,ຮອດອກPPເຫລືອງໄກ່
800000084279,ກະແລ້ມຖົ່ວດຳ
800000084273,ຫົວຫອມບົ່ວແດງ500g
800000142611,ເຕົ້າ​ຫູ້​ປາTVI 500g
2220352100,ໄຂ່ໄກ່ແພັກ 10 ຟອງ-ເບີ 0
8250L220400G26301,ກຸ້ງປອກເປືອກຜ່າຈົງຫາງ (26/30) 500g
2255121619,ຊີ້ນຄໍໝູປີ້ງ WF(TS) 500 ກຣາມ
2255121620,ກະດູກຂ້າງໝູຕັດເສັ້ນ WF(TS) 500 ກຣາມ
800000122679,ໝູ​ກະ​ປ່ອງ340g
800000084284,ກະແລ້ມເຜືອກ
800000169247,ເຫັດມະນ້ອຍຖົງຟ້າ200g
800000084224,ຕີນໄກ່ 1 kg
800000084158,ຍອດອ່ອນຕາວັນ
2255121614,ຊີ້ນໝູສາມຊັ້ນສະໄລ້ WF(TS) 500 ກຣາມ
800000084463,ລົດດີ ໝູ 800ກຼາມ
800000135302,Mfood ໜ້າເຂົ້າຊອຍ500g
800000103893,ຊອດຫອຍນາງລົມຕາກູດໄຣ່500g
2220354302,ໄຂ່ໄກ່ແຕະ 30 ຟອງ ຝາຄອບ-ເບີ 2
2255121203,ຊິ້ນສະໂພກໝູ (ຊິ້ນຂາຫລັງ)
2255121204,ສັນຄໍໝູ
2255121206,ສັນໃນໝູ 
2255121209,ຊິ້ນບ່າໄຫລ່ໝູ (ຊິ້ນຂາໜ້າ)
2255121230,ຊິ້ນໝູບົດປົນມັນໝູ 20%
2255121232,ກະດູກຂ້າງໝູ
2255121281,ກະດູກຂໍ້
2255121282,ກະດູກໃບພາຍ
2255121283,ກະດູກສັນຫລັງ
2255121295,ຂາຕັ້ງ (ຂາຫລັງໝູ)
800000122558,ຍອດຜັກຫົມອອ່ນ
800000084539,ເຕົາຮູ້ແຜ່ນ 120ກມ
11008934,ເຕົາຫູ້ໄຂ່ ເກດ A
800000103177,ປາ​ກະ​ປ່ອງສາມ​ແມ່​ຄົວ93g
800000103650,ເຈ້ຍສິດຊູວິລາເປັນອັນ
800000084195,ນໍ້າທິບນ້ອຍ 350ມລ
800000084194,ນໍ້າທິບກາງ 550ມລ
800000084522,ລ້ອນສາຍຝົນ 35ກຼາມ
800000084310,ແຈ່ວດາດໂຕໝູ (ໃຫຍ່)
800000086217,ແຈ່ວເສສວນຍົກໂປ້150g
800000084461,ລົດດີ ພະໂລ້ 60ກຼາມ
800000084406,ກະປິ 75ກຼາມ
800000084454,ປາແດກແມ່ບຸນລໍ້າ 400ກຼາມ
800000122702,ເຕົາຮູ້ແຜ່ນ
800000084489,ແຈ່ວລູກຊີ້ນ (ຝາຂຽວ)
800000084408,ຄະນໍກ້ອນ ຕົ້ມຍຳ
800000103674,ຄະນໍລົດໝູຖົງ17g
800000155539,ກ້ຽວ500g
800000084293,ປູອັດTVI 250ກຼາມ
800000102119,ເຫັດເຂັມຖົງຂຽວ
800000127090,ເສັ້ນເຜືອກ200g
800000084343,ລ້ອນປຽກດອກຝ້າຍ 500ກຼາມ
800000123315,ແປບຊີຕຸກ1225ml
800000107244,ໂອອີຊິລົດຊາດຳໝາກນາວ
800000107246,ໂອອີຊິລົດເຂົ້າ
800000147702,ປາເສັ້ນຈັບໂບ້ລົດຊຸບເປີແຊບ
800000084438,ນໍ້າມັນພືດກຸກ 1000ກຼາມ
800000101373,ປາ​ລອນດີ້ແຜ່ນPP 1 kg
800000084377,ແຈ່ວເສສວນຈີນງົວເຂັ້ມຂຸ່ມ 150g
800000107245,ໂອອີຊິລົດໝາກນາວ
800000103163,ເສັ້ນມັນດ້າງຈຸ່ມເສັ້ນແປ250g
800000147726,ແປ້ງນົວກາຖ້ວຍ 250g
2255120382,ຫມູປີ້ງ 10ໄມ້  550g
800000084417,ນໍ້າມັນຫອຍນາງລົມ600ml
800000106975,SunValleyນັກເກັດໄກ່ 1kg
800000103182,ຫມີເກົາຫລີບົວຖົງ
800000169015,ກາໂຕະລົດລີ້ນຈີ່320ml
800000183639,ໂອອີຊິລົດດັງເດີມ
800000084473,ເກືອກາກວຽນໄອໂອດີນເວີນຄຳ 1ກິໂລ
800000084369,pfpເຕົ້າຫູ້ປາລູກເຕົາ 500g
800000084459,ຟ້າໄທນໍ້າໃສ 350ມລ
800000101352,PFP ເຕົ້າຮູ້ຊີດ500g
800000126557,Mfoodແຈ່ວດາດ_ຈຸ່ມ500g
800000084511,ໂລຊ່າ ຊອດໝາກເຂືອເທດ 300ກຼາມ
800000101497,ປູອັດເບັນໂຕະ 250ກຮາມ
800000084478,ເເມ໊ກກີ້ສູດຫອມ200g
800000122561,ເສັ້ນເສສວນມັດ500g
800000107256,ວິຕາມິນC ເລມອນ
800000107977,AROເນື້ອປາດໍລີ້ສະໄລ່
800000103177,ປາ​ກະ​ປ່ອງສາມ​ແມ່​ຄົວ93g
800000101892,ແຈ່ວດາດໂຕໝູ (ນ້ອຍ)
800000084234,ຫົວກະທຽມ500g
800000084337,ນົມສົ້ມ ໝາກໜອດ 60ml
800000101360,ປູອັດTVI500g
800000084524,ວາຊາບິ E&S
800000112246,ເສັ້ນເຜືອກມ່ວງຫອມ200g
23003924,ປີກໄກ່ນິວອໍລີນ 300g
800000101380,NVເສືອຮ້ອງໄຫ້ອົດສະຕາລີ500g
800000192695,ໄມ້ຖູ່100ຄູ່
2220354303,ໄຂ່ໄກ່ແຕະ 30 ຟອງ ຝາຄອບ-ເບີ 3
800000084334,ນ້ຳຕານບວງ 1ກິໂລ
2255120402,ໝູນຸ້ມໝັກພິກໄທດຳ 500g
800000084219,NVນົມສະໄລ້A300ກຼາມ
800000212436,ລົດດີຜົງລົດໝູ70g
800000084206,ໝາກ​ນາວ​ໂຊ​ດາ
800000190860,ມັນຝຮັ່ງຫຍັກເອັກຕ້າ1kg
2255120443,ລູກຊີ້ນເອັນ 500g
800000084398,ປາໄຂ່ 500 ກຼາມ
26020202,ໄກ່ຈໍ້ 500 ກັມ
800000084247,ຜັກບົ້ງ 300ກຼາມ
2255121619,ຊີ້ນຄໍໝູປີ້ງ WF(TS) 500 ກຣາມ
2255121532,ຊີ້ນໝູສາມຊັ້ນຕັດຕ່ອນ FREEZE 500 ກຣາມ
800000107172,Polar Bear ໝາກຖົວຍິປຸ່ນ Edamame 1kg
800000103176,ປາກະປ່ອງ3ແມ່ຄົວແພັກ
800000084444,Orchid ນ້ຳ​ມັນ​ຫວຽດ 1 ml
800000101381,NVເສືອຮ້ອງໄຫ້ແພັກສະໄລ 300g
800000103167,ລ້ອນ​ສາຍ​ຜົນ​ຖົ​ງ​ໃຫຍ່​700g
800000107704,ປີກກາງຖົງ2kg
800000101378,NVນົມໝູສະໄລ້A 500g
23003925,ນັກເກັດດາວ 300g
800000126113,ນ້ຳຈິ້ມໄກ່ຄົວຕະວັນ230g
800000234450,ສະໂພກໄກ່ຖົງ2kg
800000101368,SunValleyປີກໄກ່ກອບດັງເດີມ1kg
2255121203,ຊິ້ນສະໂພກໝູ (ຊິ້ນຂາຫລັງ)
2255121615,ຊີ້ນສັນຄໍໝູສະໄລ້ WF(TS) 500 ກຣາມ
2255121205,ສັນນອກໝູ
800000130237,ປູອັດເບັນໂຕະ 500g
2255120314,ໝູຍໍ່ A 1000 g
2210440045,ນ່ອງໄກ່ເນື້ອຕິດສະໂພກອານາໄມ
800000084495,ແຈ່ວສຸກີ້ແມ່ທອນ 500g
800000120919,ປີກກາງຕີດປາຍປີກ2kg
800000084283,ກະແລ້ມໝາກໜອດ
800000084158,ຍອດອ່ອນຕາວັນ
800000107278,ເລ່ລົດໂມລິສະລາຍຖົງ44g
2220354302,ໄຂ່ໄກ່ແຕະ 30 ຟອງ ຝາຄອບ-ເບີ 2
800000244109,ເຕົ້າຫູ້ແຫ້ງເສັ້ນ
2255120404,ໝູສາມຊັ້ນໝັກນ້ຳມັນງາ 500g
800000084537,ເຫັດຫິມະ 200g
800000103617,ຜັກກາດຂາວ
800000084188,ແຈ່ວດາດຫອມແຊບໃຫຍ່ນຸ້ມນວນ500g
800000125754,ນ້ຳພິກແກງເພັດນ້ຳໃຈ100g
800000103173,ສະອິວດຳ940g
800000101491,AROຜັກລວມ1kg
2255120354,ຫມູຝອຍ   100 g
2220352100,ໄຂ່ໄກ່ແພັກ 10 ຟອງ-ເບີ 0
800000141549,ຊອດຫອຍນາງລົມຕຸກ1000g
800000102050,ເຫັດຫຼວງ500g
800000101493,Aro ຖົ່ວເເຮະຢີ່ປຸ່ນເເຊ່ເເຂງ
23003923,ນັກເກັດວົງ 300g
800000101356,TVIຄອມໂບຊີສບັນລວມ 500g
2255121207,ຊິ້ນໝູສາມຊັ້ນ
800000106731,AFMໄສ້ກອກໄກ່500g
800000101369,ຫມຶກວົງຕິດໜັງ1kg
2255121489,ສາມຊັ້ນໝູສະໄລ້ WRAP FREEZE 250 ກຣາມ
800000239131,ກະດູກຂ້າງcp1kg
2255120346,ຫມູທອດ 1000g
800000084202,ກະແລ້ມແອັບເປີ້ນ
2255120442,ສາມຊັ້ນໝັກເກືອ 1000g
800000101377,NV ຂາລາຍສະໄລ 300g
800000101376,NV ຂາລາຍAUD 500g
800000125871,ຫມຶກເສັ້ນ1kg
800000101379,NVໜອກສະໄລອົດສະຕາລີ300g
2210440043,ເອິກໄກ່ເນື້ອຕິດຫນັງອານາໄມ
800000103183,ຫມີ່ເກົາຫລີບົວແພັກ5ຫໍ່
800000084393,ປາຊາບະເປັນໂຕ 400ກຼາມ
800000141350,ເລ່ລົດບາບີຄີວ44g
800000247429,ເລ່ຊາວຄີມແລະຫົວຫອມກ່ອງ100g
800000084277,CP ຊຸດຈຸ່ມພີມ້ຽນ
2255121410,ຫາງໝູອານາໄມ FREEZE 1000 ກຣາມ
800000084494,ແຈ່ວສຸກີ້ແມ່ທອນ 250g
800000101365,SUNFOOD ປີກບົນໄກ່ຖົງແດງ1kg
800000259674,ໃບກະເພົາ
800000237425,ເສັ້ນດາເມັນ200g
800000199260,ຂະໜົມຊີລ້ຽວສອດໄສ້ລົດຊອກໂກແລດ
2210440047,ຕີນໄກ່ເນື້ອອານາໄມ
800000103895,ຊອດໝາກເລັນກູດໄລ500g
800000084431,ນໍ້າຕານຊາຍຂາວ ກາປວງ 1ກິໂລ
2255121230,ຊິ້ນໝູບົດປົນມັນໝູ 20%
2255121521,ຕີນໝູຕັດ
2255121618,ຊີ້ນໝູສາມຊັ້ນຕັດເສັ້ນ WF(TS) 500 ກຣາມ
800000199232,ປາມຶກກອບຊົງເຄື່ອງ18g
800000247442,ເລ່ກິ່ນກຸ້ງມັງກອນສະໄປຊີກ່ອງ100g
800000126163,ຊອດປຸງລົດງາຂາວ220ml
2255121621,ກະດູກອ່ອນໝູຕັດຕ່ອນ WF(TS) 500 ກຣາມ
2210440046,ປີກເຕັມໄກ່ເນື້ອອານາໄມ
2255121204,ສັນຄໍໝູ
800000084279,ກະແລ້ມຖົ່ວດຳ
800000101353,PFP ຊິກູວາ500g
800000084273,ຫົວຫອມບົ່ວແດງ500g
800000101917,ຮອດອກPPເຫລືອງໄກ່
2255120359,ສົ້ມຫມູ  500 g
800000107050,ລູກຊີ້ນປາແຫຼມ
2255121209,ຊິ້ນບ່າໄຫລ່ໝູ (ຊິ້ນຂາໜ້າ)
800000084318,ໄສ້ກອກຫມູຄອກເທວຜະສົມຊີສ 500g
2255121620,ກະດູກຂ້າງໝູຕັດເສັ້ນ WF(TS) 500 ກຣາມ
