ลำดับ,ร้าน,วันที่,รหัสสินค้า,บาร์โค้ด,ชื่อสินค้า,รหัสหมวดหมู่,หมวดหมู่,ยอดยกมา,รับเข้า,ขายออก,รับแปร,เบิกแปร,ปรับเพิ่ม,ปรับลด,รับผลิต,เบิกผลิต,สินค้าคงเหลือ,หน่วย,@หน่วย,มูลค่าคงเหลือ,รหัสเหตุผล,เหตุผล
41,CP Fresh Shop ດອນໜູນ,01/06/2025,800000155537,6974343132305,ໄສ້ກອກລົດໄຟ700g,007,ອາຫານແຊ່ແຂງ,27.0,0.0,1.0,0,0,0.0,0.0,0,0,26.0,"ຊນ,ອັນ",46000,1196000.0,-,-
42,CP Fresh Shop ດອນໜູນ,01/06/2025,2255121487,8562551214876,ສັນຄໍໝູສະໄລ້ WARP FREEZE 250 ກຣາມ,006,ຊີ້ນແພກແບຣນ,35.0,0.0,9.0,0,0,0.0,0.0,0,0,26.0,ແພັກ,35500,923000.0,-,-
43,CP Fresh Shop ດອນໜູນ,01/06/2025,800000212436,8850250010937,ລົດດີຜົງລົດໝູ70g,010,ເຄື່ອງປຸງ,27.0,0.0,1.0,0,0,0.0,0.0,0,0,26.0,"ຊນ,ອັນ",6938,180388.0,-,-
44,CP Fresh Shop ດອນໜູນ,01/06/2025,800000084392,1010001923,ປາຊາບະຮົມຄວັນ 125ກຼາມ,007,ອາຫານແຊ່ແຂງ,26.0,0.0,2.0,0,0,0.0,0.0,0,0,24.0,"ຊນ,ອັນ",39000,936000.0,-,-
45,CP Fresh Shop ດອນໜູນ,01/06/2025,800000101380,23022022,NVເສືອຮ້ອງໄຫ້ອົດສະຕາລີ500g,007,ອາຫານແຊ່ແຂງ,17.0,10.0,3.0,0,0,0.0,0.0,0,0,24.0,"ຊນ,ອັນ",77500,1860000.0,-,-
46,CP Fresh Shop ດອນໜູນ,01/06/2025,800000084537,6953150185001,ເຫັດຫິມະ 200g,804,ເຫັດ-ສາຫຼ່າຍ,30.0,0.0,6.0,0,0,0.0,0.0,0,0,24.0,"ຊນ,ອັນ",5200,124800.0,-,-
47,CP Fresh Shop ດອນໜູນ,01/06/2025,800000197588,8936136163314,ນ້ຳ​ປາ​ຫວຽດ750ml,010,ເຄື່ອງປຸງ,24.0,0.0,1.0,0,0,0.0,0.0,0,0,23.0,"ຊນ,ອັນ",51000,1173000.0,-,-
48,CP Fresh Shop ດອນໜູນ,01/06/2025,800000084278,8858828509517,ກະແລ້ມກະທິ,012,ອາຫານສຳເລັດຮູບ,24.0,0.0,1.0,0,0,0.0,0.0,0,0,23.0,"ຊນ,ອັນ",8000,184000.0,-,-
49,CP Fresh Shop ດອນໜູນ,01/06/2025,2255120443,8858984833372,ລູກຊີ້ນເອັນ 500g,012,ອາຫານສຳເລັດຮູບ,24.0,0.0,1.0,0,0,0.0,0.0,0,0,23.0,ແພັກ,25003,575069.0,-,-
50,CP Fresh Shop ດອນໜູນ,01/06/2025,800000084411,8850144229254,ຄະນໍຜົງລົດໝູ 400g,010,ເຄື່ອງປຸງ,23.0,0.0,1.0,0,0,0.0,0.0,0,0,22.0,"ຊນ,ອັນ",32500,715000.0,-,-
